,Stock_Name,Current_Price (₹),Market Cap,Return_On_Equity (ROE) %,Price_to_Earnings_ratio (P/E),Industry P/E,Earnings_per_share (EPS),Price_to_Book_ratio (P/B),Dividend Yield %,Debt_to_Equity,Revenue_Growth %,Profit_Growth %,Net_Profit_Margin %,EBITDA Margin %
0,HDFC Bank,982.50,"₹14,96,040Cr",13.53%,21.20,13.70,45.94,2.87,1.13%,NA,18.517102543577735,12.241112828438949,23.44%,21.463709677419356
1,State Bank of India,864.70,"₹8,06,802Cr",15.33%,10.16,13.70,86.06,1.56,1.76%,NA,10.313967136150234,12.474317581449956,16.24%,19.051735603138713
2,LIC,912.35,"₹5,73,741Cr",37.98%,11.77,14.91,77.05,4.51,1.32%,0.00,5.923512520805142,5.028199980881369,9.22%,0.0
3,ITC,399.80,"₹5,02,087Cr",28.17%,14.39,27.59,27.86,7.17,3.58%,0.00,18.745899846927617,-0.1016880211511084,23.49%,30.19198011141292
4,NTPC,338.00,"₹3,28,717Cr",12.72%,13.72,23.28,24.71,1.79,2.46%,1.36,-3.817725789625552,5.8523608955885615,11.22%,16.557819675535963
5,Eternal (Zomato),337.85,"₹3,23,335Cr",1.74%,1080.81,182.51,0.31,10.65,0.00%,0.07,21.10012892135797,28.085106382978726,24.95%,24.378992193044713
6,Oil & Natural Gas Corporation,245.32,"₹3,09,412Cr",10.55%,8.59,8.85,28.63,0.90,4.98%,0.55,-10.715341810263716,-10.226001342582233,25.07%,35.72396350826484
7,Bharat Electronics,410.30,"₹3,02,004Cr",26.64%,54.94,52.85,7.52,15.12,0.58%,0.00,4.090909090909091,24.865359342386682,21.94%,28.187772925764193
8,Adani Power,151.48,"₹2,93,127Cr",22.96%,23.60,23.28,6.44,5.81,0.00%,0.70,8.766071130405743,27.046843177189412,25.03%,37.227509978507825
9,Power Grid Corp,289.00,"₹2,66,741Cr",16.75%,17.29,23.28,16.59,2.88,3.14%,1.41,3.7511520737327193,7.063305978898008,36.80%,57.537532202185304
10,Tata Motors,698.05,"₹2,62,362Cr",20.39%,12.41,28.17,57.42,2.36,0.84%,0.62,10.55646915283009,144.29223744292236,34.47%,32.00422244613982
11,Wipro,243.53,"₹2,53,760Cr",15.95%,18.85,24.66,12.84,3.28,2.48%,0.23,10.050912419197987,53.67983367983368,21.49%,24.76348892816301
12,Coal India,384.70,"₹2,35,447Cr",35.68%,7.10,10.60,53.78,2.38,6.94%,0.09,-8.525072346885526,32.59775897553168,465.93%,46.12592054766103
13,Indian Oil Corporation,154.37,"₹2,18,667Cr",6.50%,12.95,19.64,11.96,1.17,1.89%,0.82,1.2460570008728866,115.24782444192205,2.60%,4.27787483863316
14,Tata Steel,171.43,"₹2,12,162Cr",4.11%,46.69,34.57,3.64,2.37,2.12%,1.04,-5.289211568462739,5.764034824377064,12.07%,18.46431625962178
15,Hindustan Zinc,489.90,"₹2,07,674Cr",77.69%,20.28,13.94,24.24,15.58,5.90%,0.82,-4.781729511121684,-6.530958439355386,29.22%,39.81261711430356
16,JIO Financial Services,309.90,"₹1,94,538Cr",1.31%,119.61,20.31,2.56,1.58,0.16%,0.03,0.29128388976026204,-0.4180602006689122,53.22%,71.6041108132261
17,Vedanta,471.85,"₹1,84,199Cr",36.37%,12.65,10.60,37.25,4.47,9.23%,1.82,8.791536283713306,37.269901984221846,21.27%,34.04099894991553
18,DLF,737.15,"₹1,82,010Cr",10.76%,40.58,40.56,18.12,4.28,0.82%,0.10,1.1792804896253195,962.269129287599,8.61%,18.44857545654241
19,Hindalco Industries,767.80,"₹1,74,475Cr",12.93%,10.31,13.94,75.34,1.41,0.64%,0.52,10.161362617660243,26.580557443915705,7.67%,11.836269683036987
20,HDFC Life Insurance Company,755.60,"₹1,64,520Cr",11.03%,87.51,14.91,8.72,9.65,0.27%,0.17,9.486723038124907,14.405945776195972,3.78%,0.0
21,Indian Railway Finance Corp,127.08,"₹1,63,618Cr",12.26%,24.55,25.96,5.10,3.01,1.28%,7.44,2.246526751404079,10.716550412175016,25.30%,99.30615784908933
22,Bharat Petroleum Corporation,341.90,"₹1,49,028Cr",16.39%,8.60,19.64,39.95,1.83,2.87%,0.75,1.335831862466857,103.11774461028192,4.73%,6.54507508037475
23,Varun Beverages,440.00,"₹1,48,434Cr",15.51%,52.13,51.73,8.42,8.08,0.23%,0.12,-8.07633327653774,0.8695652173913043,21.87%,28.748841519925854
24,Ambuja Cements,569.95,"₹1,41,858Cr",7.80%,32.87,44.37,17.46,2.65,0.35%,0.01,20.02815202091293,50.776361937996796,15.51%,18.36153459540962
25,Bank of Baroda,261.85,"₹1,37,817Cr",12.66%,7.08,13.70,37.63,0.90,3.14%,NA,11.365051687632333,1.8618214445939882,14.61%,17.530615668511995
26,Power Finance Corporation,408.80,"₹1,33,918Cr",19.53%,5.51,20.31,73.68,1.14,3.89%,8.25,15.617656931856327,21.08660570199032,32.68%,100.04355084561224
27,Punjab National Bank,114.17,"₹1,31,652Cr",12.81%,7.92,13.70,14.46,1.01,2.53%,NA,15.749549213455202,-48.493234932349324,5.24%,18.15105285775677
28,Tata Power Company,392.50,"₹1,26,392Cr",11.08%,31.12,23.28,12.71,3.53,0.57%,1.75,-11.20966508640465,-29.435308802778675,9.84%,20.082673096796416
29,Shriram Finance,666.80,"₹1,26,291Cr",14.71%,13.03,20.31,51.52,2.24,1.47%,4.15,20.266750026049806,8.8339222614841,18.69%,71.97192860856005
30,CG Power & Inds,748.00,"₹1,17,409Cr",25.35%,117.05,60.15,6.37,17.16,0.17%,0.01,25.093457943925234,23.374833067677592,10.83%,14.365707881957416
31,GAIL (India),179.90,"₹1,16,116Cr",12.42%,9.98,16.80,17.70,1.37,4.25%,0.25,2.9973871943164134,-30.76358296622614,5.42%,7.818378748147303
32,Canara Bank,128.06,"₹1,14,925Cr",18.69%,6.90,13.70,18.37,1.16,3.16%,NA,11.884185773074663,21.69014084507042,15.33%,16.29403883036019
33,Samvardhana Motherson,104.12,"₹1,12,141Cr",10.90%,33.73,39.18,3.15,3.22,0.53%,0.49,17.24550898203593,111.51533194403098,13.35%,14.791283622744297
34,Adani Energy Solutions,919.00,"₹1,11,293Cr",10.74%,46.44,23.28,19.95,5.04,0.00%,1.83,259.77501939487973,104.11012526096034,18.95%,27.82839173405211
35,Swiggy,420.75,"₹1,05,120Cr",-30.50%,-28.39,182.51,-14.85,10.27,0.00%,0.17,33.96584440227704,99.3963782696177,-36.80%,-34.95042492917847
36,Union Bank of India,138.54,"₹1,04,275Cr",17.38%,5.54,13.70,24.65,0.96,3.48%,NA,2.937746971561832,11.878227779287851,15.08%,16.500424782102513
37,The Indian Hotels Company,733.25,"₹1,02,971Cr",15.01%,52.65,57.58,13.74,9.23,0.31%,0.28,13.099587325436598,17.1360153256705,23.41%,31.898999090081894
